"fecha","encuestadora","muestra","party","percentage_points"
2023-05-24,"Giacobbe & Asociados​",1000,"Revolucion ciudadana",25.8
2023-05-24,"Giacobbe & Asociados​",1000,"Avanza",18.9
2023-05-24,"Giacobbe & Asociados​",1000,"Unidad popular",27.6
2023-05-24,"Giacobbe & Asociados​",1000,"Movimiento construye",2
2023-05-24,"Giacobbe & Asociados​",1000,"Movimiento Reto",2.5
2023-05-24,"Giacobbe & Asociados​",1000,"Otros - Blanco - Indecisos",14.2
2023-05-22,"Opinaia​",2000,"Revolucion ciudadana",20
2023-05-22,"Opinaia​",2000,"Avanza",18
2023-05-22,"Opinaia​",2000,"Unidad popular",26
2023-05-22,"Opinaia​",2000,"Movimiento construye",6
2023-05-22,"Opinaia​",2000,"Movimiento Reto",3
2023-05-22,"Opinaia​",2000,"Otros - Blanco - Indecisos",18
2023-05-07,"Clara Research​​",2641,"Revolucion ciudadana",22.4
2023-05-07,"Clara Research​​",2641,"Avanza",10.9
2023-05-07,"Clara Research​​",2641,"Unidad popular",25.5
2023-05-07,"Clara Research​​",2641,"Movimiento construye",3.3
2023-05-07,"Clara Research​​",2641,"Movimiento Reto",2
2023-05-07,"Clara Research​​",2641,"Otros - Blanco - Indecisos",26.9
2023-05-20,"Opina Argentina​",1402,"Revolucion ciudadana",26
2023-05-20,"Opina Argentina​",1402,"Avanza",15
2023-05-20,"Opina Argentina​",1402,"Unidad popular",24
2023-05-20,"Opina Argentina​",1402,"Movimiento construye",5
2023-05-20,"Opina Argentina​",1402,"Movimiento Reto",4
2023-05-20,"Opina Argentina​",1402,"Otros - Blanco - Indecisos",17
2023-05-20,"Opina Argentina​",1402,"Revolucion ciudadana",27
2023-05-20,"Opina Argentina​",1402,"Avanza",18
2023-05-20,"Opina Argentina​",1402,"Unidad popular",26
2023-05-20,"Opina Argentina​",1402,"Movimiento construye",4
2023-05-20,"Opina Argentina​",1402,"Movimiento Reto",3
2023-05-20,"Opina Argentina​",1402,"Otros - Blanco - Indecisos",13
2023-05-20,"Opina Argentina​",1402,"Revolucion ciudadana",26
2023-05-20,"Opina Argentina​",1402,"Avanza",18
2023-05-20,"Opina Argentina​",1402,"Unidad popular",26
2023-05-20,"Opina Argentina​",1402,"Movimiento construye",4
2023-05-20,"Opina Argentina​",1402,"Movimiento Reto",4
2023-05-20,"Opina Argentina​",1402,"Otros - Blanco - Indecisos",13
2023-05-19,"Federico González & Asociados​​",2400,"Revolucion ciudadana",25.2
2023-05-19,"Federico González & Asociados​​",2400,"Avanza",14.1
2023-05-19,"Federico González & Asociados​​",2400,"Unidad popular",27.9
2023-05-19,"Federico González & Asociados​​",2400,"Movimiento construye",2.4
2023-05-19,"Federico González & Asociados​​",2400,"Movimiento Reto",3.3
2023-05-19,"Federico González & Asociados​​",2400,"Otros - Blanco - Indecisos",17.7
2023-05-19,"Federico González & Asociados​​",2400,"Revolucion ciudadana",25.2
2023-05-19,"Federico González & Asociados​​",2400,"Avanza",23.5
2023-05-19,"Federico González & Asociados​​",2400,"Unidad popular",24.1
2023-05-19,"Federico González & Asociados​​",2400,"Movimiento construye",2.3
2023-05-19,"Federico González & Asociados​​",2400,"Movimiento Reto",3.3
2023-05-19,"Federico González & Asociados​​",2400,"Otros - Blanco - Indecisos",12.6
2023-05-19,"Federico González & Asociados​​",2400,"Revolucion ciudadana",25.9
2023-05-19,"Federico González & Asociados​​",2400,"Avanza",24.5
2023-05-19,"Federico González & Asociados​​",2400,"Unidad popular",24.1
2023-05-19,"Federico González & Asociados​​",2400,"Movimiento construye",2.2
2023-05-19,"Federico González & Asociados​​",2400,"Movimiento Reto",2.9
2023-05-19,"Federico González & Asociados​​",2400,"Otros - Blanco - Indecisos",11.4
2023-05-18,"Cuenca consultores",1212,"Revolucion ciudadana",22.8
2023-05-18,"Cuenca consultores",1212,"Avanza",14.9
2023-05-18,"Cuenca consultores",1212,"Unidad popular",20.8
2023-05-18,"Cuenca consultores",1212,"Movimiento construye",5.7
2023-05-18,"Cuenca consultores",1212,"Movimiento Reto",NA
2023-05-18,"Cuenca consultores",1212,"Otros - Blanco - Indecisos",26.9
2023-05-13,"Taquion​",2669,"Revolucion ciudadana",23.7
2023-05-13,"Taquion​",2669,"Avanza",24
2023-05-13,"Taquion​",2669,"Unidad popular",26.3
2023-05-13,"Taquion​",2669,"Movimiento construye",4
2023-05-13,"Taquion​",2669,"Movimiento Reto",2.2
2023-05-13,"Taquion​",2669,"Otros - Blanco - Indecisos",10.9
2023-05-13,"Synopsis​​",1631,"Revolucion ciudadana",24.6
2023-05-13,"Synopsis​​",1631,"Avanza",17.2
2023-05-13,"Synopsis​​",1631,"Unidad popular",25.2
2023-05-13,"Synopsis​​",1631,"Movimiento construye",5.5
2023-05-13,"Synopsis​​",1631,"Movimiento Reto",3.5
2023-05-13,"Synopsis​​",1631,"Otros - Blanco - Indecisos",14.9
2023-05-13,"Synopsis​​",1631,"Revolucion ciudadana",24.9
2023-05-13,"Synopsis​​",1631,"Avanza",17.2
2023-05-13,"Synopsis​​",1631,"Unidad popular",17.1
2023-05-13,"Synopsis​​",1631,"Movimiento construye",10.7
2023-05-13,"Synopsis​​",1631,"Movimiento Reto",4.6
2023-05-13,"Synopsis​​",1631,"Otros - Blanco - Indecisos",16.5
2023-05-07,"CELAG​",2002,"Revolucion ciudadana",26.1
2023-05-07,"CELAG​",2002,"Avanza",15.6
2023-05-07,"CELAG​",2002,"Unidad popular",29.3
2023-05-07,"CELAG​",2002,"Movimiento construye",6.2
2023-05-07,"CELAG​",2002,"Movimiento Reto",3.5
2023-05-07,"CELAG​",2002,"Otros - Blanco - Indecisos",8.7
2023-04-30,"Fixer​",1257,"Revolucion ciudadana",26
2023-04-30,"Fixer​",1257,"Avanza",23
2023-04-30,"Fixer​",1257,"Unidad popular",22
2023-04-30,"Fixer​",1257,"Movimiento construye",3
2023-04-30,"Fixer​",1257,"Movimiento Reto",2
2023-04-30,"Fixer​",1257,"Otros - Blanco - Indecisos",15
2023-04-30,"Opinaia​",2000,"Revolucion ciudadana",23
2023-04-30,"Opinaia​",2000,"Avanza",18
2023-04-30,"Opinaia​",2000,"Unidad popular",26
2023-04-30,"Opinaia​",2000,"Movimiento construye",2
2023-04-30,"Opinaia​",2000,"Movimiento Reto",2
2023-04-30,"Opinaia​",2000,"Otros - Blanco - Indecisos",15
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Revolucion ciudadana",26.6
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Avanza",11.4
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Unidad popular",26
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Movimiento construye",5.6
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Movimiento Reto",2.7
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Otros - Blanco - Indecisos",18.7
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Revolucion ciudadana",28.1
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Avanza",15
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Unidad popular",22
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Movimiento construye",5.7
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Movimiento Reto",2.4
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Otros - Blanco - Indecisos",17.8
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Revolucion ciudadana",28.5
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Avanza",14.5
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Unidad popular",18
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Movimiento construye",4.7
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Movimiento Reto",2.8
2023-04-16,"Zuban Córdoba & Asociados​​",1300,"Otros - Blanco - Indecisos",22.4
2023-04-15,"Synopsis​​",1679,"Revolucion ciudadana",23.7
2023-04-15,"Synopsis​​",1679,"Avanza",17.6
2023-04-15,"Synopsis​​",1679,"Unidad popular",26.5
2023-04-15,"Synopsis​​",1679,"Movimiento construye",3.6
2023-04-15,"Synopsis​​",1679,"Movimiento Reto",3.8
2023-04-15,"Synopsis​​",1679,"Otros - Blanco - Indecisos",15.8
2023-04-15,"Synopsis​​",1679,"Revolucion ciudadana",30
2023-04-15,"Synopsis​​",1679,"Avanza",20.8
2023-04-15,"Synopsis​​",1679,"Unidad popular",24.9
2023-04-15,"Synopsis​​",1679,"Movimiento construye",2.2
2023-04-15,"Synopsis​​",1679,"Movimiento Reto",2.4
2023-04-15,"Synopsis​​",1679,"Otros - Blanco - Indecisos",10.8
2023-04-15,"Synopsis​​",1679,"Revolucion ciudadana",22.8
2023-04-15,"Synopsis​​",1679,"Avanza",19.1
2023-04-15,"Synopsis​​",1679,"Unidad popular",16.6
2023-04-15,"Synopsis​​",1679,"Movimiento construye",10.8
2023-04-15,"Synopsis​​",1679,"Movimiento Reto",4.9
2023-04-15,"Synopsis​​",1679,"Otros - Blanco - Indecisos",16.8
2023-04-15,"Opina Argentina​",1402,"Revolucion ciudadana",27
2023-04-15,"Opina Argentina​",1402,"Avanza",18
2023-04-15,"Opina Argentina​",1402,"Unidad popular",23
2023-04-15,"Opina Argentina​",1402,"Movimiento construye",5
2023-04-15,"Opina Argentina​",1402,"Movimiento Reto",3
2023-04-15,"Opina Argentina​",1402,"Otros - Blanco - Indecisos",11
2023-04-14,"IPD​",1600,"Revolucion ciudadana",26
2023-04-14,"IPD​",1600,"Avanza",15
2023-04-14,"IPD​",1600,"Unidad popular",25
2023-04-14,"IPD​",1600,"Movimiento construye",NA
2023-04-14,"IPD​",1600,"Movimiento Reto",5
2023-04-14,"IPD​",1600,"Otros - Blanco - Indecisos",20
2023-04-14,"IPD​",1600,"Revolucion ciudadana",25
2023-04-14,"IPD​",1600,"Avanza",19
2023-04-14,"IPD​",1600,"Unidad popular",27
2023-04-14,"IPD​",1600,"Movimiento construye",NA
2023-04-14,"IPD​",1600,"Movimiento Reto",NA
2023-04-14,"IPD​",1600,"Otros - Blanco - Indecisos",20
2023-04-14,"Reale Dalla Torre​",1600,"Revolucion ciudadana",27.6
2023-04-14,"Reale Dalla Torre​",1600,"Avanza",22.5
2023-04-14,"Reale Dalla Torre​",1600,"Unidad popular",26.7
2023-04-14,"Reale Dalla Torre​",1600,"Movimiento construye",2.7
2023-04-14,"Reale Dalla Torre​",1600,"Movimiento Reto",3.8
2023-04-14,"Reale Dalla Torre​",1600,"Otros - Blanco - Indecisos",8.7
2023-04-14,"Reale Dalla Torre​",1600,"Revolucion ciudadana",20.9
2023-04-14,"Reale Dalla Torre​",1600,"Avanza",14.3
2023-04-14,"Reale Dalla Torre​",1600,"Unidad popular",20.6
2023-04-14,"Reale Dalla Torre​",1600,"Movimiento construye",NA
2023-04-14,"Reale Dalla Torre​",1600,"Movimiento Reto",4.9
2023-04-14,"Reale Dalla Torre​",1600,"Otros - Blanco - Indecisos",30.3
2023-04-13,"Management & Fit​",1500,"Revolucion ciudadana",26.5
2023-04-13,"Management & Fit​",1500,"Avanza",18.6
2023-04-13,"Management & Fit​",1500,"Unidad popular",24.3
2023-04-13,"Management & Fit​",1500,"Movimiento construye",6.8
2023-04-13,"Management & Fit​",1500,"Movimiento Reto",4.5
2023-04-13,"Management & Fit​",1500,"Otros - Blanco - Indecisos",13.4
2023-04-13,"Management & Fit​",1500,"Revolucion ciudadana",28.7
2023-04-13,"Management & Fit​",1500,"Avanza",18.4
2023-04-13,"Management & Fit​",1500,"Unidad popular",23.9
2023-04-13,"Management & Fit​",1500,"Movimiento construye",6.3
2023-04-13,"Management & Fit​",1500,"Movimiento Reto",3.8
2023-04-13,"Management & Fit​",1500,"Otros - Blanco - Indecisos",12.9
2023-04-13,"Management & Fit​",1500,"Revolucion ciudadana",30.7
2023-04-13,"Management & Fit​",1500,"Avanza",17.5
2023-04-13,"Management & Fit​",1500,"Unidad popular",23.7
2023-04-13,"Management & Fit​",1500,"Movimiento construye",6.8
2023-04-13,"Management & Fit​",1500,"Movimiento Reto",3.9
2023-04-13,"Management & Fit​",1500,"Otros - Blanco - Indecisos",11.7
2023-04-13,"Management & Fit​",1500,"Revolucion ciudadana",21.9
2023-04-13,"Management & Fit​",1500,"Avanza",13.2
2023-04-13,"Management & Fit​",1500,"Unidad popular",14.3
2023-04-13,"Management & Fit​",1500,"Movimiento construye",6.8
2023-04-13,"Management & Fit​",1500,"Movimiento Reto",4.9
2023-04-13,"Management & Fit​",1500,"Otros - Blanco - Indecisos",30.2
2023-04-09,"Taquion​",2566,"Revolucion ciudadana",21.4
2023-04-09,"Taquion​",2566,"Avanza",21.1
2023-04-09,"Taquion​",2566,"Unidad popular",24.3
2023-04-09,"Taquion​",2566,"Movimiento construye",4.8
2023-04-09,"Taquion​",2566,"Movimiento Reto",2.5
2023-04-09,"Taquion​",2566,"Otros - Blanco - Indecisos",17
2023-04-09,"Inteligencia Analítica​",9754,"Revolucion ciudadana",18.7
2023-04-09,"Inteligencia Analítica​",9754,"Avanza",14.6
2023-04-09,"Inteligencia Analítica​",9754,"Unidad popular",20.8
2023-04-09,"Inteligencia Analítica​",9754,"Movimiento construye",NA
2023-04-09,"Inteligencia Analítica​",9754,"Movimiento Reto",5.3
2023-04-09,"Inteligencia Analítica​",9754,"Otros - Blanco - Indecisos",31.6
2023-04-04,"GOP y Trespuntozero​",2000,"Revolucion ciudadana",27.7
2023-04-04,"GOP y Trespuntozero​",2000,"Avanza",27
2023-04-04,"GOP y Trespuntozero​",2000,"Unidad popular",19.3
2023-04-04,"GOP y Trespuntozero​",2000,"Movimiento construye",NA
2023-04-04,"GOP y Trespuntozero​",2000,"Movimiento Reto",1.2
2023-04-04,"GOP y Trespuntozero​",2000,"Otros - Blanco - Indecisos",15.8
2023-04-04,"GOP y Trespuntozero​",2000,"Revolucion ciudadana",30
2023-04-04,"GOP y Trespuntozero​",2000,"Avanza",27.6
2023-04-04,"GOP y Trespuntozero​",2000,"Unidad popular",19.1
2023-04-04,"GOP y Trespuntozero​",2000,"Movimiento construye",NA
2023-04-04,"GOP y Trespuntozero​",2000,"Movimiento Reto",1.1
2023-04-04,"GOP y Trespuntozero​",2000,"Otros - Blanco - Indecisos",13.2
2023-04-02,"Inteligencia Analítica​",9944,"Revolucion ciudadana",20.5
2023-04-02,"Inteligencia Analítica​",9944,"Avanza",13.7
2023-04-02,"Inteligencia Analítica​",9944,"Unidad popular",20.3
2023-04-02,"Inteligencia Analítica​",9944,"Movimiento construye",NA
2023-04-02,"Inteligencia Analítica​",9944,"Movimiento Reto",5.8
2023-04-02,"Inteligencia Analítica​",9944,"Otros - Blanco - Indecisos",30.7
2023-03-31,"Analogías​",2658,"Revolucion ciudadana",25.2
2023-03-31,"Analogías​",2658,"Avanza",15.5
2023-03-31,"Analogías​",2658,"Unidad popular",20.7
2023-03-31,"Analogías​",2658,"Movimiento construye",NA
2023-03-31,"Analogías​",2658,"Movimiento Reto",3.5
2023-03-31,"Analogías​",2658,"Otros - Blanco - Indecisos",26.1
2023-03-30,"IESA",1001,"Revolucion ciudadana",15
2023-03-30,"IESA",1001,"Avanza",14
2023-03-30,"IESA",1001,"Unidad popular",11
2023-03-30,"IESA",1001,"Movimiento construye",5
2023-03-30,"IESA",1001,"Movimiento Reto",4
2023-03-30,"IESA",1001,"Otros - Blanco - Indecisos",33
2023-03-29,"Federico González & Asociados​",1800,"Revolucion ciudadana",25.2
2023-03-29,"Federico González & Asociados​",1800,"Avanza",22.5
2023-03-29,"Federico González & Asociados​",1800,"Unidad popular",15.2
2023-03-29,"Federico González & Asociados​",1800,"Movimiento construye",4.6
2023-03-29,"Federico González & Asociados​",1800,"Movimiento Reto",3.3
2023-03-29,"Federico González & Asociados​",1800,"Otros - Blanco - Indecisos",20.2
2023-03-07,"Poliarquía​",NA,"Revolucion ciudadana",27
2023-03-07,"Poliarquía​",NA,"Avanza",16
2023-03-07,"Poliarquía​",NA,"Unidad popular",23
2023-03-07,"Poliarquía​",NA,"Movimiento construye",NA
2023-03-07,"Poliarquía​",NA,"Movimiento Reto",5
2023-03-07,"Poliarquía​",NA,"Otros - Blanco - Indecisos",20
2023-03-07,"Poliarquía​",NA,"Revolucion ciudadana",35
2023-03-07,"Poliarquía​",NA,"Avanza",24
2023-03-07,"Poliarquía​",NA,"Unidad popular",23
2023-03-07,"Poliarquía​",NA,"Movimiento construye",3
2023-03-07,"Poliarquía​",NA,"Movimiento Reto",3
2023-03-07,"Poliarquía​",NA,"Otros - Blanco - Indecisos",4
2023-03-27,"Mucho en Común​",1821,"Revolucion ciudadana",10
2023-03-27,"Mucho en Común​",1821,"Avanza",1
2023-03-27,"Mucho en Común​",1821,"Unidad popular",25
2023-03-27,"Mucho en Común​",1821,"Movimiento construye",NA
2023-03-27,"Mucho en Común​",1821,"Movimiento Reto",NA
2023-03-27,"Mucho en Común​",1821,"Otros - Blanco - Indecisos",54
2023-03-23,"Opinaia​",2000,"Revolucion ciudadana",20
2023-03-23,"Opinaia​",2000,"Avanza",20
2023-03-23,"Opinaia​",2000,"Unidad popular",20
2023-03-23,"Opinaia​",2000,"Movimiento construye",4
2023-03-23,"Opinaia​",2000,"Movimiento Reto",3
2023-03-23,"Opinaia​",2000,"Otros - Blanco - Indecisos",24
2023-03-18,"Consultora Tendencias​",8206,"Revolucion ciudadana",27.5
2023-03-18,"Consultora Tendencias​",8206,"Avanza",21.6
2023-03-18,"Consultora Tendencias​",8206,"Unidad popular",18.5
2023-03-18,"Consultora Tendencias​",8206,"Movimiento construye",2.4
2023-03-18,"Consultora Tendencias​",8206,"Movimiento Reto",6.2
2023-03-18,"Consultora Tendencias​",8206,"Otros - Blanco - Indecisos",14.8
2023-03-16,"Synopsis​",1643,"Revolucion ciudadana",23.4
2023-03-16,"Synopsis​",1643,"Avanza",18.4
2023-03-16,"Synopsis​",1643,"Unidad popular",14.6
2023-03-16,"Synopsis​",1643,"Movimiento construye",9.2
2023-03-16,"Synopsis​",1643,"Movimiento Reto",5.3
2023-03-16,"Synopsis​",1643,"Otros - Blanco - Indecisos",0
2023-03-13,"Clivajes Consultores​",1395,"Revolucion ciudadana",26.7
2023-03-13,"Clivajes Consultores​",1395,"Avanza",11.8
2023-03-13,"Clivajes Consultores​",1395,"Unidad popular",28.4
2023-03-13,"Clivajes Consultores​",1395,"Movimiento construye",NA
2023-03-13,"Clivajes Consultores​",1395,"Movimiento Reto",NA
2023-03-13,"Clivajes Consultores​",1395,"Otros - Blanco - Indecisos",24.1
2023-02-07,"Aresco​",4000,"Revolucion ciudadana",33
2023-02-07,"Aresco​",4000,"Avanza",27.9
2023-02-07,"Aresco​",4000,"Unidad popular",20.6
2023-02-07,"Aresco​",4000,"Movimiento construye",NA
2023-02-07,"Aresco​",4000,"Movimiento Reto",NA
2023-02-07,"Aresco​",4000,"Otros - Blanco - Indecisos",9.5
2023-02-28,"Management & Fit​",2200,"Revolucion ciudadana",23.6
2023-02-28,"Management & Fit​",2200,"Avanza",16.7
2023-02-28,"Management & Fit​",2200,"Unidad popular",20.4
2023-02-28,"Management & Fit​",2200,"Movimiento construye",NA
2023-02-28,"Management & Fit​",2200,"Movimiento Reto",NA
2023-02-28,"Management & Fit​",2200,"Otros - Blanco - Indecisos",30.3
2023-02-27,"Opina Argentina​",1250,"Revolucion ciudadana",27
2023-02-27,"Opina Argentina​",1250,"Avanza",18
2023-02-27,"Opina Argentina​",1250,"Unidad popular",24
2023-02-27,"Opina Argentina​",1250,"Movimiento construye",5
2023-02-27,"Opina Argentina​",1250,"Movimiento Reto",4
2023-02-27,"Opina Argentina​",1250,"Otros - Blanco - Indecisos",13
2023-02-27,"Opina Argentina​",1250,"Revolucion ciudadana",28
2023-02-27,"Opina Argentina​",1250,"Avanza",23
2023-02-27,"Opina Argentina​",1250,"Unidad popular",22
2023-02-27,"Opina Argentina​",1250,"Movimiento construye",3
2023-02-27,"Opina Argentina​",1250,"Movimiento Reto",4
2023-02-27,"Opina Argentina​",1250,"Otros - Blanco - Indecisos",10
2023-02-17,"IPD​",1004,"Revolucion ciudadana",27
2023-02-17,"IPD​",1004,"Avanza",22
2023-02-17,"IPD​",1004,"Unidad popular",18
2023-02-17,"IPD​",1004,"Movimiento construye",7
2023-02-17,"IPD​",1004,"Movimiento Reto",5
2023-02-17,"IPD​",1004,"Otros - Blanco - Indecisos",9
2023-02-16,"Solmoirago​",2200,"Revolucion ciudadana",29.9
2023-02-16,"Solmoirago​",2200,"Avanza",31.6
2023-02-16,"Solmoirago​",2200,"Unidad popular",18
2023-02-16,"Solmoirago​",2200,"Movimiento construye",NA
2023-02-16,"Solmoirago​",2200,"Movimiento Reto",2.7
2023-02-16,"Solmoirago​",2200,"Otros - Blanco - Indecisos",8.7
2023-02-16,"Solmoirago​",2200,"Revolucion ciudadana",26.6
2023-02-16,"Solmoirago​",2200,"Avanza",20.9
2023-02-16,"Solmoirago​",2200,"Unidad popular",14.2
2023-02-16,"Solmoirago​",2200,"Movimiento construye",NA
2023-02-16,"Solmoirago​",2200,"Movimiento Reto",2.5
2023-02-16,"Solmoirago​",2200,"Otros - Blanco - Indecisos",27
2023-02-10,"Cuenca consultores",2408,"Revolucion ciudadana",25.6
2023-02-10,"Cuenca consultores",2408,"Avanza",21.8
2023-02-10,"Cuenca consultores",2408,"Unidad popular",10.8
2023-02-10,"Cuenca consultores",2408,"Movimiento construye",NA
2023-02-10,"Cuenca consultores",2408,"Movimiento Reto",NA
2023-02-10,"Cuenca consultores",2408,"Otros - Blanco - Indecisos",27.7
2023-02-07,"Opinaia​",1100,"Revolucion ciudadana",24
2023-02-07,"Opinaia​",1100,"Avanza",18
2023-02-07,"Opinaia​",1100,"Unidad popular",24
2023-02-07,"Opinaia​",1100,"Movimiento construye",4
2023-02-07,"Opinaia​",1100,"Movimiento Reto",3
2023-02-07,"Opinaia​",1100,"Otros - Blanco - Indecisos",18
2023-02-05,"Opina Argentina​",1100,"Revolucion ciudadana",26
2023-02-05,"Opina Argentina​",1100,"Avanza",24
2023-02-05,"Opina Argentina​",1100,"Unidad popular",19
2023-02-05,"Opina Argentina​",1100,"Movimiento construye",NA
2023-02-05,"Opina Argentina​",1100,"Movimiento Reto",3
2023-02-05,"Opina Argentina​",1100,"Otros - Blanco - Indecisos",20
2023-02-03,"Opinaia​",2000,"Revolucion ciudadana",24
2023-02-03,"Opinaia​",2000,"Avanza",22
2023-02-03,"Opinaia​",2000,"Unidad popular",24
2023-02-03,"Opinaia​",2000,"Movimiento construye",3
2023-02-03,"Opinaia​",2000,"Movimiento Reto",2
2023-02-03,"Opinaia​",2000,"Otros - Blanco - Indecisos",16
2023-01-22,"Zuban Córdoba & Asociados​",1300,"Revolucion ciudadana",30.3
2023-01-22,"Zuban Córdoba & Asociados​",1300,"Avanza",14
2023-01-22,"Zuban Córdoba & Asociados​",1300,"Unidad popular",23.2
2023-01-22,"Zuban Córdoba & Asociados​",1300,"Movimiento construye",4.8
2023-01-22,"Zuban Córdoba & Asociados​",1300,"Movimiento Reto",NA
2023-01-22,"Zuban Córdoba & Asociados​",1300,"Otros - Blanco - Indecisos",18.7
2023-01-19,"Aresco​",4000,"Revolucion ciudadana",25.4
2023-01-19,"Aresco​",4000,"Avanza",19.6
2023-01-19,"Aresco​",4000,"Unidad popular",22.3
2023-01-19,"Aresco​",4000,"Movimiento construye",5.2
2023-01-19,"Aresco​",4000,"Movimiento Reto",4
2023-01-19,"Aresco​",4000,"Otros - Blanco - Indecisos",14.5
2023-01-19,"Aresco​",4000,"Revolucion ciudadana",29.8
2023-01-19,"Aresco​",4000,"Avanza",20.5
2023-01-19,"Aresco​",4000,"Unidad popular",18.8
2023-01-19,"Aresco​",4000,"Movimiento construye",5.3
2023-01-19,"Aresco​",4000,"Movimiento Reto",2.8
2023-01-19,"Aresco​",4000,"Otros - Blanco - Indecisos",13.8
2023-01-17,"Solmoirago​",2200,"Revolucion ciudadana",29.1
2023-01-17,"Solmoirago​",2200,"Avanza",28.3
2023-01-17,"Solmoirago​",2200,"Unidad popular",19.5
2023-01-17,"Solmoirago​",2200,"Movimiento construye",NA
2023-01-17,"Solmoirago​",2200,"Movimiento Reto",1.8
2023-01-17,"Solmoirago​",2200,"Otros - Blanco - Indecisos",12.3
2023-01-17,"Solmoirago​",2200,"Revolucion ciudadana",29.3
2023-01-17,"Solmoirago​",2200,"Avanza",32.1
2023-01-17,"Solmoirago​",2200,"Unidad popular",18.1
2023-01-17,"Solmoirago​",2200,"Movimiento construye",NA
2023-01-17,"Solmoirago​",2200,"Movimiento Reto",2.8
2023-01-17,"Solmoirago​",2200,"Otros - Blanco - Indecisos",8.7
2023-01-16,"Federico González & Asociados​",1700,"Revolucion ciudadana",26.9
2023-01-16,"Federico González & Asociados​",1700,"Avanza",21.5
2023-01-16,"Federico González & Asociados​",1700,"Unidad popular",20.3
2023-01-16,"Federico González & Asociados​",1700,"Movimiento construye",2.8
2023-01-16,"Federico González & Asociados​",1700,"Movimiento Reto",3.6
2023-01-16,"Federico González & Asociados​",1700,"Otros - Blanco - Indecisos",16.4
2023-01-16,"Federico González & Asociados​",1700,"Revolucion ciudadana",25.6
2023-01-16,"Federico González & Asociados​",1700,"Avanza",20.2
2023-01-16,"Federico González & Asociados​",1700,"Unidad popular",22.4
2023-01-16,"Federico González & Asociados​",1700,"Movimiento construye",2.9
2023-01-16,"Federico González & Asociados​",1700,"Movimiento Reto",3.5
2023-01-16,"Federico González & Asociados​",1700,"Otros - Blanco - Indecisos",16.4
2023-01-11,"Synopsis​",1794,"Revolucion ciudadana",29.5
2023-01-11,"Synopsis​",1794,"Avanza",28.7
2023-01-11,"Synopsis​",1794,"Unidad popular",21.3
2023-01-11,"Synopsis​",1794,"Movimiento construye",NA
2023-01-11,"Synopsis​",1794,"Movimiento Reto",2.9
2023-01-11,"Synopsis​",1794,"Otros - Blanco - Indecisos",8.7
2023-01-06,"Opinaia​",2000,"Revolucion ciudadana",25
2023-01-06,"Opinaia​",2000,"Avanza",23
2023-01-06,"Opinaia​",2000,"Unidad popular",22
2023-01-06,"Opinaia​",2000,"Movimiento construye",4
2023-01-06,"Opinaia​",2000,"Movimiento Reto",2
2023-01-06,"Opinaia​",2000,"Otros - Blanco - Indecisos",15
2023-01-03,"Raúl Aragón & Asociados​",1500,"Revolucion ciudadana",24.8
2023-01-03,"Raúl Aragón & Asociados​",1500,"Avanza",20.1
2023-01-03,"Raúl Aragón & Asociados​",1500,"Unidad popular",18.3
2023-01-03,"Raúl Aragón & Asociados​",1500,"Movimiento construye",NA
2023-01-03,"Raúl Aragón & Asociados​",1500,"Movimiento Reto",3.7
2023-01-03,"Raúl Aragón & Asociados​",1500,"Otros - Blanco - Indecisos",24.1
2023-01-03,"Raúl Aragón & Asociados​",1500,"Revolucion ciudadana",23.5
2023-01-03,"Raúl Aragón & Asociados​",1500,"Avanza",25.3
2023-01-03,"Raúl Aragón & Asociados​",1500,"Unidad popular",17.2
2023-01-03,"Raúl Aragón & Asociados​",1500,"Movimiento construye",NA
2023-01-03,"Raúl Aragón & Asociados​",1500,"Movimiento Reto",3.3
2023-01-03,"Raúl Aragón & Asociados​",1500,"Otros - Blanco - Indecisos",21.7
2022-12-07,"Opina Argentina​",1100,"Revolucion ciudadana",25
2022-12-07,"Opina Argentina​",1100,"Avanza",25
2022-12-07,"Opina Argentina​",1100,"Unidad popular",19
2022-12-07,"Opina Argentina​",1100,"Movimiento construye",NA
2022-12-07,"Opina Argentina​",1100,"Movimiento Reto",4
2022-12-07,"Opina Argentina​",1100,"Otros - Blanco - Indecisos",18
2022-12-28,"GOP y Trespuntozero​",1300,"Revolucion ciudadana",30
2022-12-28,"GOP y Trespuntozero​",1300,"Avanza",27.1
